date,tsurf,t1000,active_year,day_of_the_year
2016-03-24,16.75359344482422,13.521221160888672,2016,87
2016-03-31,17.129549026489258,13.555241584777832,2016,94
2016-04-07,17.48932647705078,13.565999031066895,2016,101
2016-04-14,17.937959671020508,13.591490745544434,2016,108
2016-04-21,18.431703567504883,13.601810455322266,2016,115
2016-04-28,19.096969604492188,13.61652946472168,2016,122
2016-05-05,19.758499145507812,13.614774703979492,2016,129
2016-05-12,20.55181312561035,13.609955787658691,2016,136
2016-05-19,21.3275089263916,13.608721733093262,2016,143
2016-05-26,22.20636558532715,13.613621711730957,2016,150
2016-06-02,23.021827697753906,13.60788345336914,2016,157
2016-06-09,23.54920196533203,13.613144874572754,2016,164
2016-06-16,24.12639617919922,13.614343643188477,2016,171
2016-06-23,24.639760971069336,13.621577262878418,2016,178
2016-06-30,24.98809051513672,13.627016067504883,2016,185
2016-07-07,25.255451202392578,13.619927406311035,2016,192
2016-07-14,25.373138427734375,13.619348526000977,2016,199
2016-07-21,25.59505844116211,13.626381874084473,2016,206
2016-07-28,25.747041702270508,13.627571105957031,2016,213
2016-08-04,25.748849868774414,13.623933792114258,2016,220
2016-08-11,25.502426147460938,13.621506690979004,2016,227
2016-08-18,25.202394485473633,13.622156143188477,2016,234
2016-08-25,24.876575469970703,13.634309768676758,2016,241
2016-09-01,24.636615753173828,13.638643264770508,2016,248
2016-09-08,24.384979248046875,13.644230842590332,2016,255
2016-09-15,24.087257385253906,13.647116661071777,2016,262
2016-09-22,23.7913818359375,13.664087295532227,2016,269
2016-09-29,23.446422576904297,13.677919387817383,2016,276
2016-10-06,22.991668701171875,13.67954158782959,2016,283
2016-10-13,22.33806800842285,13.693242073059082,2016,290
2016-10-20,21.527999877929688,13.704333305358887,2016,297
2016-10-27,20.571125030517578,13.696785926818848,2016,304
2016-11-03,19.720346450805664,13.696043014526367,2016,311
2016-11-10,18.99124526977539,13.694132804870605,2016,318
2016-11-17,18.49234962463379,13.691431045532227,2016,325
2016-11-24,18.019075393676758,13.695022583007812,2016,332
2016-12-01,17.499614715576172,13.68979263305664,2016,339
2016-12-08,17.037811279296875,13.687033653259277,2016,346
2016-12-15,16.57546043395996,13.695149421691895,2016,353
2016-12-22,16.191333770751953,13.70407772064209,2016,360
2016-12-29,15.864046096801758,13.704231262207031,2017,1
